order_id,operational_date,shift,picking_time_seconds,packing_accuracy_status
ORD-000001,27-05-2026,A,117.59,1
ORD-000002,17-05-2026,A,87.23,1
ORD-000003,11-05-2026,A,121.02,1
ORD-000004,16-05-2026,A,115.11,0
ORD-000005,14-05-2026,A,128.94,1
ORD-000006,25-05-2026,A,122.38,1
ORD-000007,09-05-2026,A,120.79,1
ORD-000008,12-05-2026,A,118.05,1
ORD-000009,21-05-2026,A,115.92,1
ORD-000010,20-05-2026,A,111.93,1
ORD-000011,21-05-2026,A,116.38,1
ORD-000012,12-05-2026,A,131.4,1
ORD-000013,26-05-2026,A,135.1,1
ORD-000014,17-05-2026,A,97.97,1
ORD-000015,20-05-2026,A,119.49,1
ORD-000016,12-05-2026,A,124.46,1
ORD-000017,29-05-2026,A,119,1
ORD-000018,15-05-2026,A,131.7,1
ORD-000019,28-05-2026,A,142.9,1
ORD-000020,20-05-2026,A,116.44,1
ORD-000021,02-05-2026,A,114.13,1
ORD-000022,09-05-2026,A,141.09,1
ORD-000023,17-05-2026,A,130.44,1
ORD-000024,04-05-2026,A,117.46,1
ORD-000025,12-05-2026,A,148.61,1
ORD-000026,04-05-2026,A,142.1,1
ORD-000027,15-05-2026,A,103.18,1
ORD-000028,22-05-2026,A,150.48,1
ORD-000029,18-05-2026,A,129.91,1
ORD-000030,14-05-2026,A,127.36,1
ORD-000031,07-05-2026,A,115.74,1
ORD-000032,10-05-2026,A,104.14,1
ORD-000033,03-05-2026,A,106.32,1
ORD-000034,27-05-2026,A,142.64,1
ORD-000035,02-05-2026,A,113.74,1
ORD-000036,23-05-2026,A,127.26,1
ORD-000037,02-05-2026,A,139.31,1
ORD-000038,28-05-2026,A,144.19,1
ORD-000039,01-05-2026,A,127.19,1
ORD-000040,14-05-2026,A,136.06,1
ORD-000041,05-05-2026,A,126.52,1
ORD-000042,15-05-2026,A,122.19,1
ORD-000043,29-05-2026,A,112.97,1
ORD-000044,15-05-2026,A,118.08,1
ORD-000045,23-05-2026,A,95.06,1
ORD-000046,26-05-2026,A,118.77,1
ORD-000047,17-05-2026,A,140.12,1
ORD-000048,19-05-2026,A,135.6,1
ORD-000049,19-05-2026,A,108.49,1
ORD-000050,28-05-2026,A,115.25,1
ORD-000051,14-05-2026,A,113.65,1
ORD-000052,06-05-2026,A,121.51,1
ORD-000053,01-05-2026,A,99.44,1
ORD-000054,19-05-2026,A,126.21,1
ORD-000055,14-05-2026,A,131.71,1
ORD-000056,23-05-2026,A,101.18,1
ORD-000057,12-05-2026,A,104.27,1
ORD-000058,12-05-2026,A,122.52,1
ORD-000059,23-05-2026,A,124.52,1
ORD-000060,28-05-2026,A,113.21,1
ORD-000061,13-05-2026,A,127.57,1
ORD-000062,03-05-2026,A,105.84,1
ORD-000063,22-05-2026,A,143.2,1
ORD-000064,29-05-2026,A,113.68,1
ORD-000065,01-05-2026,A,122.39,1
ORD-000066,27-05-2026,A,107.26,1
ORD-000067,25-05-2026,A,111.58,1
ORD-000068,12-05-2026,A,117.7,1
ORD-000069,04-05-2026,A,128.57,1
ORD-000070,07-05-2026,A,131.37,1
ORD-000071,16-05-2026,A,130.54,1
ORD-000072,22-05-2026,A,128.54,1
ORD-000073,07-05-2026,A,132.25,1
ORD-000074,15-05-2026,A,104.61,1
ORD-000075,25-05-2026,A,115.06,1
ORD-000076,01-05-2026,A,97.85,1
ORD-000077,24-05-2026,A,121.51,1
ORD-000078,07-05-2026,A,104.07,1
ORD-000079,05-05-2026,A,129.58,1
ORD-000080,30-05-2026,A,105.15,1
ORD-000081,03-05-2026,A,125.27,1
ORD-000082,05-05-2026,A,97.45,1
