order_id,operational_date,shift,picking_time_seconds
ORD-008775,2026-05-24,A,101.53
ORD-043802,2026-05-21,B,56.61
ORD-016224,2026-05-16,A,126.89
ORD-023898,2026-05-26,B,102.38
ORD-042123,2026-05-22,B,78.48
ORD-013989,2026-05-06,A,101.48
ORD-011908,2026-05-01,A,119.62
ORD-028205,2026-05-18,B,76.99
ORD-041153,2026-05-22,B,98.79
ORD-027936,2026-05-18,B,100.79
ORD-023066,2026-05-12,B,113.68
ORD-031285,2026-05-22,B,80.1
ORD-020147,2026-05-17,A,122.15
ORD-004946,2026-05-21,A,114.11
ORD-032363,2026-05-23,B,51.25
ORD-042543,2026-05-17,B,75.31
ORD-043881,2026-05-08,B,101.26
ORD-008202,2026-05-13,A,122.33
ORD-041916,2026-05-24,B,74.22
ORD-025903,2026-05-28,B,75.42
ORD-013303,2026-05-06,A,106.03
ORD-028645,2026-05-14,B,100.41
ORD-036688,2026-05-29,B,79.99
ORD-043920,2026-05-20,B,89.63
ORD-014651,2026-05-29,A,118.49
ORD-023217,2026-05-11,B,92.83
ORD-007658,2026-05-19,A,103.51
ORD-008791,2026-05-03,A,129.35
ORD-033773,2026-05-25,B,94.26
ORD-028729,2026-05-04,B,75.57
ORD-020865,2026-05-27,A,143.14
ORD-027835,2026-05-15,B,62.75
ORD-009535,2026-05-10,A,113.86
ORD-023577,2026-05-25,B,105.1
ORD-024616,2026-05-11,B,93.02
ORD-007528,2026-05-10,A,113.96
ORD-007682,2026-05-10,A,127.67
ORD-016038,2026-05-14,A,103.4
ORD-004152,2026-05-23,A,131.63
ORD-023391,2026-05-06,B,70.0
ORD-043655,2026-05-15,B,99.49
ORD-007029,2026-05-11,A,119.02
ORD-002739,2026-05-23,A,126.4
ORD-013189,2026-05-25,A,124.59
ORD-040524,2026-05-21,B,95.9
ORD-034277,2026-05-19,B,107.97
ORD-005044,2026-05-08,A,135.51
ORD-004353,2026-05-18,A,122.86
ORD-030045,2026-05-09,B,80.42
ORD-038122,2026-05-06,B,102.84
ORD-040599,2026-05-17,B,85.54
ORD-000159,2026-05-13,A,92.75
ORD-023668,2026-05-27,B,114.6
ORD-007316,2026-05-21,A,92.95
ORD-041003,2026-05-11,B,96.08
ORD-004144,2026-05-18,A,111.15
ORD-039664,2026-05-03,B,106.33
ORD-042011,2026-05-07,B,90.84
ORD-044766,2026-05-06,B,74.7
ORD-012288,2026-05-02,A,104.1
ORD-007431,2026-05-02,A,126.62
ORD-039345,2026-05-05,B,96.27
ORD-009952,2026-05-29,A,138.29
ORD-001511,2026-05-23,A,128.39
ORD-044666,2026-05-21,B,81.43
ORD-043601,2026-05-16,B,81.24
ORD-004081,2026-05-09,A,108.76
ORD-043066,2026-05-30,B,115.33
ORD-028756,2026-05-24,B,129.5
ORD-039959,2026-05-23,B,88.1
ORD-019003,2026-05-09,A,138.25
ORD-021365,2026-05-19,A,120.68
ORD-037307,2026-05-27,B,96.38
ORD-002620,2026-05-01,A,101.26
ORD-029197,2026-05-12,B,100.73
ORD-025584,2026-05-09,B,144.1
ORD-002201,2026-05-19,A,133.03
ORD-040354,2026-05-10,B,48.03
ORD-032689,2026-05-08,B,90.78
ORD-018215,2026-05-08,A,120.98
ORD-020097,2026-05-03,A,115.85
ORD-012600,2026-05-21,A,120.89
ORD-036434,2026-05-16,B,80.64
ORD-007414,2026-05-22,A,124.53
ORD-011181,2026-05-01,A,156.38
ORD-036361,2026-05-29,B,102.51
ORD-012567,2026-05-18,A,106.97
ORD-019537,2026-05-25,A,136.09
ORD-042843,2026-05-06,B,106.83
ORD-018033,2026-05-08,A,119.18
ORD-030414,2026-05-02,B,116.81
ORD-021549,2026-05-03,A,125.22
ORD-033327,2026-05-06,B,82.38
ORD-017362,2026-05-11,A,92.02
ORD-036519,2026-05-29,B,73.91
ORD-042779,2026-05-02,B,117.48
ORD-041532,2026-05-01,B,93.14
ORD-016152,2026-05-30,A,141.56
ORD-039092,2026-05-27,B,100.61
ORD-013184,2026-05-04,A,119.67
ORD-033797,2026-05-30,B,98.24
ORD-011459,2026-05-03,A,109.44
ORD-019492,2026-05-27,A,123.07
ORD-014382,2026-05-28,A,105.91
ORD-018134,2026-05-26,A,117.79
ORD-032233,2026-05-16,B,90.6
ORD-018452,2026-05-25,A,123.22
ORD-034158,2026-05-22,B,90.34
ORD-036886,2026-05-01,B,111.19
ORD-003805,2026-05-04,A,116.89
ORD-030934,2026-05-01,B,85.4
ORD-039788,2026-05-06,B,53.92
ORD-022802,2026-05-02,B,75.42
ORD-031962,2026-05-05,B,88.41
ORD-018062,2026-05-29,A,118.05
ORD-024414,2026-05-13,B,104.76
ORD-025699,2026-05-23,B,121.17
ORD-033701,2026-05-23,B,81.96
ORD-044460,2026-05-06,B,98.93
ORD-008210,2026-05-25,A,99.09
ORD-023169,2026-05-26,B,88.06
ORD-028900,2026-05-09,B,96.29
ORD-016495,2026-05-25,A,78.17
ORD-006250,2026-05-09,A,107.44
ORD-042666,2026-05-27,B,86.66
ORD-035425,2026-05-05,B,110.66
ORD-034984,2026-05-06,B,89.79
ORD-032054,2026-05-23,B,101.03
ORD-016300,2026-05-11,A,115.2
ORD-042980,2026-05-02,B,76.89
ORD-030683,2026-05-01,B,100.71
ORD-023741,2026-05-09,B,121.55
ORD-018104,2026-05-07,A,113.93
ORD-006916,2026-05-28,A,139.74
ORD-018476,2026-05-20,A,101.41
ORD-017134,2026-05-16,A,132.5
