order_id,packing_accuracy_status
ORD-000001,1
ORD-000002,1
ORD-000003,1
ORD-000004,0
ORD-000005,1
ORD-000006,1
ORD-000007,1
ORD-000008,1
ORD-000009,1
ORD-000010,1
ORD-000011,1
ORD-000012,1
ORD-000013,1
ORD-000014,1
ORD-000015,1
ORD-000016,1
ORD-000017,1
ORD-000018,1
ORD-000019,1
ORD-000020,1
ORD-000021,1
ORD-000022,1
ORD-000023,1
ORD-000024,1
ORD-000025,1
ORD-000026,1
ORD-000027,1
ORD-000028,1
ORD-000029,1
ORD-000030,1
ORD-000031,1
ORD-000032,1
ORD-000033,1
ORD-000034,1
ORD-000035,1
ORD-000036,1
ORD-000037,1
ORD-000038,1
ORD-000039,1
ORD-000040,1
ORD-000041,1
ORD-000042,1
ORD-000043,1
ORD-000044,1
ORD-000045,1
ORD-000046,1
ORD-000047,1
ORD-000048,1
ORD-000049,1
ORD-000050,1
ORD-000051,1
ORD-000052,1
ORD-000053,1
ORD-000054,1
ORD-000055,1
ORD-000056,1
ORD-000057,1
ORD-000058,1
ORD-000059,1
ORD-000060,1
ORD-000061,1
ORD-000062,1
ORD-000063,1
ORD-000064,1
ORD-000065,1
ORD-000066,1
ORD-000067,1
ORD-000068,1
ORD-000069,1
ORD-000070,1
ORD-000071,1
ORD-000072,1
ORD-000073,1
ORD-000074,1
ORD-000075,1
ORD-000076,1
ORD-000077,1
ORD-000078,1
ORD-000079,1
ORD-000080,1
ORD-000081,1
ORD-000082,1
ORD-000083,1
ORD-000084,1
ORD-000085,1
ORD-000086,1
ORD-000087,1
ORD-000088,1
ORD-000089,1
ORD-000090,1
ORD-000091,1
ORD-000092,1
ORD-000093,1
ORD-000094,1
ORD-000095,1
ORD-000096,1
ORD-000097,1
ORD-000098,1
ORD-000099,1
ORD-000100,1
ORD-000101,1
ORD-000102,1
ORD-000103,1
ORD-000104,1
ORD-000105,1
ORD-000106,1
ORD-000107,1
ORD-000108,1
ORD-000109,1
ORD-000110,1
ORD-000111,1
ORD-000112,1
ORD-000113,1
ORD-000114,1
ORD-000115,1
ORD-000116,1
ORD-000117,1
ORD-000118,1
ORD-000119,1
ORD-000120,1
ORD-000121,1
ORD-000122,1
ORD-000123,1
ORD-000124,1
ORD-000125,1
ORD-000126,1
ORD-000127,1
ORD-000128,1
ORD-000129,1
ORD-000130,1
ORD-000131,1
ORD-000132,1
ORD-000133,1
ORD-000134,1
ORD-000135,1
ORD-000136,1
ORD-000137,0
ORD-000138,1
ORD-000139,1
ORD-000140,1
ORD-000141,1
ORD-000142,1
ORD-000143,1
ORD-000144,1
ORD-000145,1
ORD-000146,1
ORD-000147,1
ORD-000148,1
ORD-000149,1
ORD-000150,1
ORD-000151,1
ORD-000152,1
ORD-000153,1
ORD-000154,1
ORD-000155,1
ORD-000156,1
ORD-000157,1
ORD-000158,1
ORD-000159,1
ORD-000160,1
ORD-000161,1
ORD-000162,1
ORD-000163,1
ORD-000164,1
ORD-000165,1
ORD-000166,1
ORD-000167,1
ORD-000168,1
ORD-000169,1
ORD-000170,1
ORD-000171,1
ORD-000172,1
ORD-000173,1
ORD-000174,1
ORD-000175,1
ORD-000176,0
ORD-000177,0
ORD-000178,1
ORD-000179,1
ORD-000180,1
ORD-000181,1
ORD-000182,1
ORD-000183,1
ORD-000184,1
ORD-000185,1
ORD-000186,1
ORD-000187,1
ORD-000188,1
ORD-000189,1
ORD-000190,1
ORD-000191,1
ORD-000192,1
ORD-000193,1
ORD-000194,1
ORD-000195,1
ORD-000196,1
ORD-000197,1
ORD-000198,1
ORD-000199,1
ORD-000200,1
ORD-000201,1
ORD-000202,1
ORD-000203,1
ORD-000204,1
ORD-000205,1
ORD-000206,1
ORD-000207,1
ORD-000208,1
ORD-000209,1
ORD-000210,1
ORD-000211,1
ORD-000212,1
ORD-000213,1
ORD-000214,1
ORD-000215,1
ORD-000216,1
ORD-000217,1
ORD-000218,1
ORD-000219,1
ORD-000220,1
ORD-000221,1
ORD-000222,1
ORD-000223,1
ORD-000224,1
ORD-000225,1
ORD-000226,1
ORD-000227,1
ORD-000228,0
ORD-000229,1
ORD-000230,1
ORD-000231,1
ORD-000232,1
ORD-000233,1
ORD-000234,1
ORD-000235,1
ORD-000236,1
ORD-000237,1
ORD-000238,1
ORD-000239,1
ORD-000240,1
ORD-000241,1
ORD-000242,1
ORD-000243,1
ORD-000244,1
ORD-000245,1
ORD-000246,1
ORD-000247,1
ORD-000248,1
ORD-000249,1
ORD-000250,1
ORD-000251,1
ORD-000252,1
ORD-000253,1
ORD-000254,1
ORD-000255,1
ORD-000256,1
ORD-000257,1
ORD-000258,1
ORD-000259,1
ORD-000260,1
ORD-000261,1
ORD-000262,1
ORD-000263,1
ORD-000264,1
ORD-000265,1
ORD-000266,1
ORD-000267,1
ORD-000268,1
ORD-000269,1
ORD-000270,1
ORD-000271,1
ORD-000272,1
ORD-000273,1
ORD-000274,1
ORD-000275,1
ORD-000276,1
ORD-000277,1
ORD-000278,1
ORD-000279,1
ORD-000280,1
ORD-000281,1
ORD-000282,1
ORD-000283,1
ORD-000284,1
ORD-000285,1
ORD-000286,1
ORD-000287,1
ORD-000288,1
ORD-000289,1
ORD-000290,1
ORD-000291,1
ORD-000292,1
ORD-000293,1
ORD-000294,1
ORD-000295,1
ORD-000296,1
ORD-000297,1
ORD-000298,1
ORD-000299,1
ORD-000300,1
ORD-000301,1
ORD-000302,1
ORD-000303,1
ORD-000304,1
ORD-000305,1
ORD-000306,1
ORD-000307,1
ORD-000308,1
ORD-000309,1
ORD-000310,1
ORD-000311,1
ORD-000312,1
ORD-000313,1
ORD-000314,1
ORD-000315,1
ORD-000316,1
ORD-000317,1
ORD-000318,1
ORD-000319,1
ORD-000320,1
ORD-000321,1
ORD-000322,1
ORD-000323,1
ORD-000324,1
ORD-000325,1
ORD-000326,1
ORD-000327,1
ORD-000328,1
ORD-000329,1
ORD-000330,1
ORD-000331,1
ORD-000332,1
ORD-000333,1
ORD-000334,1
ORD-000335,1
ORD-000336,1
ORD-000337,1
ORD-000338,1
ORD-000339,1
ORD-000340,1
ORD-000341,1
ORD-000342,1
ORD-000343,1
ORD-000344,1
ORD-000345,1
ORD-000346,1
ORD-000347,1
ORD-000348,1
ORD-000349,0
ORD-000350,1
ORD-000351,1
ORD-000352,1
ORD-000353,1
ORD-000354,1
ORD-000355,1
ORD-000356,1
ORD-000357,1
ORD-000358,1
ORD-000359,1
ORD-000360,1
ORD-000361,1
ORD-000362,1
ORD-000363,1
ORD-000364,1
ORD-000365,1
ORD-000366,1
ORD-000367,1
ORD-000368,1
ORD-000369,1
ORD-000370,1
ORD-000371,1
ORD-000372,1
ORD-000373,1
ORD-000374,1
ORD-000375,1
ORD-000376,1
ORD-000377,1
ORD-000378,1
ORD-000379,1
ORD-000380,1
ORD-000381,1
ORD-000382,1
ORD-000383,1
ORD-000384,1
ORD-000385,1
ORD-000386,1
ORD-000387,1
ORD-000388,1
ORD-000389,1
ORD-000390,1
ORD-000391,1
ORD-000392,1
ORD-000393,1
ORD-000394,1
ORD-000395,1
ORD-000396,1
ORD-000397,1
ORD-000398,1
ORD-000399,1
ORD-000400,1
ORD-000401,1
ORD-000402,1
ORD-000403,1
ORD-000404,1
ORD-000405,1
ORD-000406,1
ORD-000407,1
ORD-000408,1
ORD-000409,1
ORD-000410,1
ORD-000411,1
ORD-000412,1
ORD-000413,1
ORD-000414,1
ORD-000415,1
ORD-000416,1
ORD-000417,1
ORD-000418,1
ORD-000419,1
ORD-000420,1
ORD-000421,1
ORD-000422,1
ORD-000423,1
ORD-000424,1
ORD-000425,1
ORD-000426,1
ORD-000427,1
ORD-000428,1
ORD-000429,1
ORD-000430,1
ORD-000431,1
ORD-000432,1
ORD-000433,1
ORD-000434,1
ORD-000435,1
ORD-000436,1
ORD-000437,1
ORD-000438,1
ORD-000439,1
ORD-000440,1
ORD-000441,1
ORD-000442,1
ORD-000443,1
ORD-000444,1
ORD-000445,1
ORD-000446,1
ORD-000447,1
ORD-000448,1
ORD-000449,1
ORD-000450,1
ORD-000451,1
ORD-000452,1
ORD-000453,1
ORD-000454,1
ORD-000455,1
ORD-000456,1
ORD-000457,1
ORD-000458,1
ORD-000459,1
ORD-000460,1
ORD-000461,1
ORD-000462,0
ORD-000463,1
ORD-000464,1
ORD-000465,1
ORD-000466,1
ORD-000467,1
ORD-000468,1
ORD-000469,1
ORD-000470,1
ORD-000471,1
ORD-000472,1
ORD-000473,1
ORD-000474,1
ORD-000475,1
ORD-000476,1
ORD-000477,1
ORD-000478,1
ORD-000479,1
ORD-000480,0
ORD-000481,1
ORD-000482,1
ORD-000483,1
ORD-000484,1
ORD-000485,1
ORD-000486,1
ORD-000487,1
ORD-000488,1
ORD-000489,1
ORD-000490,1
ORD-000491,1
ORD-000492,1
ORD-000493,1
ORD-000494,1
ORD-000495,1
ORD-000496,1
ORD-000497,1
ORD-000498,1
ORD-000499,1
ORD-000500,1
ORD-000501,1
ORD-000502,1
ORD-000503,1
ORD-000504,1
ORD-000505,1
ORD-000506,1
ORD-000507,1
ORD-000508,1
ORD-000509,1
ORD-000510,1
ORD-000511,0
ORD-000512,1
ORD-000513,1
ORD-000514,1
ORD-000515,1
ORD-000516,0
ORD-000517,1
ORD-000518,1
ORD-000519,1
ORD-000520,1
ORD-000521,1
ORD-000522,1
ORD-000523,0
ORD-000524,1
ORD-000525,1
ORD-000526,1
ORD-000527,1
ORD-000528,1
ORD-000529,1
ORD-000530,1
ORD-000531,1
ORD-000532,1
ORD-000533,1
ORD-000534,1
ORD-000535,1
ORD-000536,1
ORD-000537,1
ORD-000538,1
ORD-000539,1
ORD-000540,1
ORD-000541,1
ORD-000542,1
ORD-000543,1
ORD-000544,1
ORD-000545,1
ORD-000546,1
ORD-000547,1
ORD-000548,1
ORD-000549,1
ORD-000550,1
ORD-000551,1
ORD-000552,1
ORD-000553,1
ORD-000554,1
ORD-000555,0
ORD-000556,1
ORD-000557,1
ORD-000558,1
ORD-000559,1
ORD-000560,1
ORD-000561,1
ORD-000562,1
ORD-000563,1
ORD-000564,1
